url,html_result,Value
microsoftt,-1,-1
wwwapple,1,1
googme,-1,-1
microsoftx,-1,-1
appke,1,1
security-microsoft,1,-1
go-ogle,1,1
2pple,1,1
googhe,-1,-1
aple,1,1
applc,1,-1
apople,-1,-1
apples,-1,-1
micrdosoft,-1,-1
aplple,-1,-1
gkoogle,1,-1
mjcrosoft,-1,-1
micros-oft,1,1
axple,1,-1
applpe,-1,-1
googlpe,-1,-1
toogle,1,-1
microisoft,-1,-1
microwoft,-1,-1
login-apple,-1,1
microsoft,-1,1
applle,1,1
microzsoft,1,-1
microeoft,-1,-1
mi9crosoft,1,1
micrsooft,-1,-1
microsofdt,-1,-1
micorsoft,1,-1
mic4rosoft,1,1
mcirosoft,-1,-1
alple,1,-1
mijcrosoft,1,1
mkcrosoft,-1,-1
midrosoft,-1,-1
appls,1,-1
appl3,1,-1
googlwe,-1,-1
ample,1,1
microsof5t,1,1
aopple,-1,-1
microsoftn,-1,-1
microsoftl,-1,-1
applw,1,1
go9ogle,1,-1
appel,-1,1
microsdoft,-1,-1
mucrosoft,-1,-1
microsofy,-1,-1
apple,1,1
applen,-1,-1
www-microsoft,-1,-1
g9oogle,1,-1
zpple,1,1
microsofta,1,-1
micr5osoft,1,1
aplpe,-1,-1
micr,-1,1
googvle,-1,-1
login-microsoft,1,-1
foogle,1,1
microsoftm,-1,-1
appleg,1,1
mkicrosoft,-1,-1
micresoft,-1,-1
www-apple,-1,-1
apphe,-1,-1
google,-1,1
apole,1,1
googlle,1,-1
micrkosoft,1,1
alpple,-1,-1
microksoft,1,-1
applde,1,-1
googloe,-1,-1
appla,1,-1
m8icrosoft,1,-1
paple,1,-1
geogle,-1,-1
microsoftu,-1,-1
applwe,-1,-1
microsoftb,-1,1
voogle,-1,1
microsoft6,-1,-1
appl-e,1,-1
google4,-1,-1
microsoff,-1,-1
gpogle,-1,-1
micr4osoft,1,1
goovle,-1,-1
spple,-1,-1
mic4osoft,-1,-1
applo,1,1
microsoftp,-1,-1
microosft,-1,-1
googple,-1,-1
mifcrosoft,-1,-1
migrosoft,-1,1
googyle,-1,-1
microsovt,-1,-1
micrposoft,-1,-1
micfrosoft,-1,-1
mixcrosoft,-1,-1
appleq,-1,1
m9icrosoft,1,1
applr,-1,-1
mic5osoft,1,-1
rricrosoft,1,-1
appler,1,-1
goopgle,-1,-1
microsxoft,1,-1
googl4,-1,-1
apqle,1,1
microspoft,-1,-1
microsoftf,-1,-1
g,1,1
googfle,-1,-1
m9crosoft,-1,-1
microslft,-1,-1
microsoct,-1,-1
apple4,-1,-1
googe,-1,-1
kicrosoft,1,1
microcoft,-1,-1
micr0osoft,1,1
microsofts,-1,-1
goobgle,-1,-1
micriosoft,1,-1
mibrosoft,-1,-1
ypple,-1,-1
mikcrosoft,-1,-1
wwmicrosoft,-1,-1
micro3oft,1,-1
micdosoft,-1,-1
micrlsoft,-1,-1
micrpsoft,-1,-1
microsoftg,-1,-1
mivrosoft,-1,-1
microskft,-1,-1
go0ogle,-1,-1
micros9oft,1,1
atple,-1,-1
appoe,-1,-1
microsokft,1,-1
microso9ft,1,1
microso0ft,1,1
aplle,-1,-1
applef,1,-1
googlei,-1,-1
gookgle,-1,1
applz,-1,-1
wwapple,-1,-1
mic5rosoft,1,1
apple3,-1,1
mi8crosoft,1,-1
oogle,1,1
micfosoft,-1,-1
microsoftd,-1,-1
ap-ple,-1,-1
micro9soft,-1,-1
zoogle,1,-1
microsof6t,1,1
misrosoft,-1,-1
applek,1,1
appl3e,1,-1
mcrosoft,-1,-1
goofgle,-1,1
microaoft,-1,-1
microsort,-1,1
mictosoft,-1,-1
