url,links_result,verification
applek,1,1
google,-1,1
appl3,1,-1
wwwapple,1,1
applef,1,-1
micriosoft,1,-1
security-microsoft,1,-1
applde,1,-1
appl3e,1,-1
appler,1,-1
aple,1,1
g,1,1
applwe,1,-1
googlle,1,-1
microslft,-1,-1
applo,1,1
apple4,1,-1
appleg,1,1
microsoft,1,1
applpe,-1,-1
microsort,1,1
appla,1,-1
toogle,1,-1
appke,1,1
microsofta,1,-1
alple,1,-1
micro3oft,1,-1
microsovt,-1,-1
appl-e,1,-1
gkoogle,1,-1
2pple,1,1
applw,1,1
migrosoft,1,1
zpple,1,1
appleq,1,1
paple,1,-1
appls,1,-1
applz,1,-1
apole,1,1
ample,1,1
mifcrosoft,-1,-1
applle,1,1
zoogle,1,-1
login-apple,1,1
micros-oft,1,1
micorsoft,1,-1
apple,1,1
www-apple,-1,-1
voogle,1,1
ypple,1,-1
kicrosoft,1,1
oogle,1,1
axple,1,-1
